,lat_centroid,lon_centroid,year,month
30526,38.39878003300407,-87.23216276062645,2002,8
30527,38.39878003300407,-87.23216276062645,2001,4
30528,38.39878003300407,-87.23216276062645,2001,5
30529,38.39878003300407,-87.23216276062645,2001,6
30530,38.39878003300407,-87.23216276062645,2001,7
30531,38.39878003300407,-87.23216276062645,2001,8
30532,38.39878003300407,-87.23216276062645,2001,9
30533,38.39878003300407,-87.23216276062645,2001,10
30534,38.39878003300407,-87.23216276062645,2000,4
30535,38.39878003300407,-87.23216276062645,2000,5
30536,38.39878003300407,-87.23216276062645,2000,6
30537,38.39878003300407,-87.23216276062645,2000,7
30538,38.39878003300407,-87.23216276062645,2000,8
30539,38.39878003300407,-87.23216276062645,2000,9
30540,38.39878003300407,-87.23216276062645,2000,10
30548,38.021817931725465,-87.86845961108334,2022,4
30549,38.021817931725465,-87.86845961108334,2022,5
30550,38.021817931725465,-87.86845961108334,2022,6
30551,38.021817931725465,-87.86845961108334,2022,7
30552,38.021817931725465,-87.86845961108334,2022,8
30553,38.021817931725465,-87.86845961108334,2022,9
30554,38.021817931725465,-87.86845961108334,2022,10
30555,38.021817931725465,-87.86845961108334,2021,4
30562,38.021817931725465,-87.86845961108334,2020,4
30569,38.021817931725465,-87.86845961108334,2019,10
30584,38.021817931725465,-87.86845961108334,2016,4
30585,38.021817931725465,-87.86845961108334,2016,5
30586,38.021817931725465,-87.86845961108334,2016,6
30616,38.021817931725465,-87.86845961108334,2012,8
30617,38.021817931725465,-87.86845961108334,2012,9
30618,38.021817931725465,-87.86845961108334,2012,10
30633,38.021817931725465,-87.86845961108334,2009,4
30634,38.021817931725465,-87.86845961108334,2009,5
30635,38.021817931725465,-87.86845961108334,2009,6
30639,38.021817931725465,-87.86845961108334,2009,10
30640,38.021817931725465,-87.86845961108334,2008,4
30646,38.021817931725465,-87.86845961108334,2008,10
30651,38.021817931725465,-87.86845961108334,2007,8
30652,38.021817931725465,-87.86845961108334,2007,9
30653,38.021817931725465,-87.86845961108334,2007,10
30654,38.021817931725465,-87.86845961108334,2006,4
30655,38.021817931725465,-87.86845961108334,2006,5
30660,38.021817931725465,-87.86845961108334,2006,10
30675,38.021817931725465,-87.86845961108334,2003,5
30676,38.021817931725465,-87.86845961108334,2003,6
30677,38.021817931725465,-87.86845961108334,2003,7
30678,38.021817931725465,-87.86845961108334,2003,8
30681,38.021817931725465,-87.86845961108334,2002,4
30682,38.021817931725465,-87.86845961108334,2002,5
30683,38.021817931725465,-87.86845961108334,2002,6
30684,38.021817931725465,-87.86845961108334,2002,7
30685,38.021817931725465,-87.86845961108334,2002,8
30686,38.021817931725465,-87.86845961108334,2001,4
30687,38.021817931725465,-87.86845961108334,2001,5
30688,38.021817931725465,-87.86845961108334,2001,6
30689,38.021817931725465,-87.86845961108334,2001,7
30690,38.021817931725465,-87.86845961108334,2001,8
30691,38.021817931725465,-87.86845961108334,2001,9
30692,38.021817931725465,-87.86845961108334,2001,10
30693,38.021817931725465,-87.86845961108334,2000,4
30694,38.021817931725465,-87.86845961108334,2000,5
30695,38.021817931725465,-87.86845961108334,2000,6
30696,38.021817931725465,-87.86845961108334,2000,7
30697,38.021817931725465,-87.86845961108334,2000,8
30698,38.021817931725465,-87.86845961108334,2000,9
30699,38.021817931725465,-87.86845961108334,2000,10
