,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
1873,2194:MO:SCAN,2194,MO,SCAN,Journagan Ranch,GC,Douglas,110100060102,1100.0,36.9973,-92.2594,-6.0,59534,JOUM7,2012-07-24 00:00,2100-01-01 00:00
1884,2096:HI:SCAN,2096,HI,SCAN,Kainaliu,GC,Hawaii,200100001102,1350.0,19.53322,-155.92914,-10.0,32495,KXXH1,2005-02-10 00:00,2100-01-01 00:00
1895,2212:AK:SCAN,2212,AK,SCAN,Kanuti Lake,AK,Yukon-Koyukuk,190901040707,520.0,66.177,-151.742,-9.0,72130,KATA2,2014-08-25 00:00,2100-01-01 00:00
1942,2206:TX:SCAN,2206,TX,SCAN,Kingsville,GC,Kleberg,121102040409,70.0,27.54945,-97.88223,-6.0,66052,KGVT2,2013-09-16 00:00,2100-01-01 00:00
1954,2201:TX:SCAN,2201,TX,SCAN,Knox City,GC,Knox,120601010206,1460.0,33.44635,-99.86657,-6.0,66053,KNXT2,2013-09-12 00:00,2100-01-01 00:00
1961,2180:AL:SCAN,2180,AL,SCAN,Koptis Farms,GC,Baldwin,031602050202,130.0,30.5238,-87.69797,-6.0,55484,KOPA1,2010-05-07 00:00,2100-01-01 00:00
1965,2147:KS:SCAN,2147,KS,SCAN,Ku-Nesa,GC,Jefferson,102701040502,1090.0,39.05141,-95.19128,-6.0,35224,KUNK1,2008-08-20 00:00,2100-01-01 00:00
1966,2097:HI:SCAN,2097,HI,SCAN,Kukuihaele,GC,Hawaii,200100000203,930.0,20.0955,-155.50864,-10.0,32496,KXAH1,2005-02-11 00:00,2100-01-01 00:00
1972,2141:NV:SCAN,2141,NV,SCAN,Kyle Canyon,GC,Clark,150100150301,7010.0,36.26527,-115.60852,-8.0,34941,KCYN2,2007-10-23 00:00,2100-01-01 00:00
2079,2106:TX:SCAN,2106,TX,SCAN,Lehman,GC,Cochran,120800010301,3760.0,33.62647,-102.7453,-6.0,30944,LEHT2,2005-03-12 00:00,2100-01-01 00:00
2088,2105:TX:SCAN,2105,TX,SCAN,Levelland,GC,Hockley,120500040203,3510.0,33.55125,-102.37392,-6.0,30943,LVLT2,2005-03-11 00:00,2100-01-01 00:00
2108,2021:WA:SCAN,2021,WA,SCAN,Lind #1,GC,Adams,170200150807,1650.0,47.0,-118.56667,-8.0,19303,LDDW1,1993-09-27 00:00,2100-01-01 00:00
2110,581:MT:SCAN,581,MT,SCAN,Lindsay,GC,Dawson,101000041002,2820.0,47.21415,-105.18702,-7.0,33997,LDSM8,1990-10-01 00:00,2100-01-01 00:00
2145,2155:UT:SCAN,2155,UT,SCAN,Little Red Fox,GC,Duchesne,140600030406,5390.0,40.17957,-110.30464,-7.0,43926,LRFU1,2010-01-20 00:00,2100-01-01 00:00
2146,2027:GA:SCAN,2027,GA,SCAN,Little River,GC,Tift,031102040105,340.0,31.5,-83.55,-5.0,24419,LRVG1,1999-05-19 09:00,2100-01-01 00:00
2166,2114:AL:SCAN,2114,AL,SCAN,Livingston-UWA,GC,Sumter,031602020404,150.0,32.608,-88.19743,-6.0,33154,LVSA1,2006-05-17 00:00,2100-01-01 00:00
2204,2169:NM:SCAN,2169,NM,SCAN,Los Lunas PMC,GC,Valencia,130202030604,4840.0,34.7715,-106.76288,-7.0,40727,LNAN5,2009-09-20 00:00,2100-01-01 00:00
2233,2146:NV:SCAN,2146,NV,SCAN,Lovell Summit,GC,Clark,160600150401,6600.0,36.16555,-115.61195,-8.0,34943,LSMN2,2007-10-29 00:00,2100-01-01 00:00
2235,2116:NV:SCAN,2116,NV,SCAN,Lovelock NNR,GC,Pershing,160401081100,3930.0,40.09247,-118.49345,-8.0,33798,LUVN2,2006-09-26 00:00,2100-01-01 00:00
2255,2230:MO:SCAN,2230,MO,SCAN,LTSP,GC,Shannon,110100080503,880.0,37.18167,-91.11778,-6.0,,,2021-07-06 00:00,2100-01-01 00:00
2267,2042:VT:SCAN,2042,VT,SCAN,Lye Brook,GC,Bennington,020200030202,2420.0,43.05753,-73.03834,-5.0,25913,LBKV1,2000-09-14 00:00,2100-01-01 00:00
